Date,Symbol,EntryPrice,Result15Before7,DecisionDay15Before7,Target18BeforeStop7,Target18DecisionDay,Target25BeforeStop7,Target25DecisionDay,Target30BeforeStop7,Target30DecisionDay,CloseReturn5D,CloseReturn10D,CloseReturn15D,CloseReturn20D,CloseReturn30D,RuleBasedReturn
2025-11-03,20MICRONS-EQ,217.71,STOPPED_OUT,5.0,STOPPED_OUT,5.0,STOPPED_OUT,5.0,STOPPED_OUT,5.0,-9.191125809563195,-10.431307702907544,-13.187267465895003,-12.498277525148138,-10.008727205916134,-7.0
2025-12-26,20MICRONS-EQ,217.71,STOPPED_OUT,9.0,STOPPED_OUT,9.0,STOPPED_OUT,9.0,STOPPED_OUT,9.0,-0.9829589821321982,-10.10059253134905,-15.019980708281667,-22.488631665977678,-15.543613063249273,-7.0
2025-12-29,20MICRONS-EQ,220.68,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,-4.848649628421253,-12.59742613739352,-19.83868044226935,-19.231466376653973,-17.64999093710351,-7.0
2021-03-24,21STCENMGM-EQ,15.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,-8.666666666666668,-13.666666666666671,-19.666666666666664,-19.333333333333336,-12.333333333333329,-7.0
2021-05-19,21STCENMGM-EQ,14.4,SUCCESS,14.0,SUCCESS,15.0,SUCCESS,18.0,SUCCESS,20.0,4.166666666666674,8.680555555555557,19.09722222222221,30.555555555555557,56.94444444444444,15.0
2021-05-21,21STCENMGM-EQ,14.85,SUCCESS,13.0,SUCCESS,15.0,SUCCESS,18.0,SUCCESS,20.0,2.6936026936027035,9.427609427609429,19.52861952861953,31.313131313131315,58.24915824915826,15.0
2021-05-25,21STCENMGM-EQ,15.25,SUCCESS,13.0,SUCCESS,14.0,SUCCESS,17.0,SUCCESS,19.0,0.6557377049180246,10.491803278688527,20.983606557377055,32.45901639344262,59.999999999999986,15.0
2021-06-21,21STCENMGM-EQ,19.85,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,TIMEOUT,,9.823677581863976,20.654911838790913,22.670025188916874,14.86146095717884,18.136020151133494,15.0
2021-07-01,21STCENMGM-EQ,23.05,STOPPED_OUT,16.0,STOPPED_OUT,16.0,STOPPED_OUT,16.0,STOPPED_OUT,16.0,9.76138828633406,2.819956616052055,-6.507592190889366,-2.1691973969631184,18.221258134490228,-7.0
2021-07-07,21STCENMGM-EQ,24.85,STOPPED_OUT,8.0,STOPPED_OUT,8.0,STOPPED_OUT,8.0,STOPPED_OUT,8.0,-2.8169014084507116,-11.670020120724356,-10.865191146881303,-2.012072434607648,18.309859154929576,-7.0
2021-07-08,21STCENMGM-EQ,25.3,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,-6.324110671936767,-14.822134387351781,-10.869565217391308,-1.9762845849802368,18.37944664031621,-7.0
2021-08-17,21STCENMGM-EQ,28.3,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,14.0,9.893992932862194,20.848056537102487,27.915194346289752,40.812720848056536,70.4946996466431,15.0
2021-08-18,21STCENMGM-EQ,28.85,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,16.0,9.878682842287677,20.79722703639515,27.902946273830143,40.72790294627382,70.53726169844022,15.0
2021-08-27,21STCENMGM-EQ,32.3,SUCCESS,10.0,SUCCESS,11.0,SUCCESS,14.0,SUCCESS,16.0,9.90712074303406,16.408668730650167,28.173374613003112,41.02167182662539,64.55108359133128,15.0
2021-09-08,21STCENMGM-EQ,36.2,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,14.0,10.082872928176801,21.132596685082873,33.28729281767955,46.8232044198895,36.32596685082872,15.0
2021-09-21,21STCENMGM-EQ,42.2,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,14.0,10.071090047393373,21.208530805687186,23.45971563981042,16.943127962085303,36.49289099526065,15.0
2021-09-22,21STCENMGM-EQ,43.0,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,28.0,10.116279069767442,21.27906976744185,18.837209302325576,12.558139534883717,36.627906976744185,15.0
2021-09-29,21STCENMGM-EQ,47.35,SUCCESS,8.0,SUCCESS,23.0,SUCCESS,26.0,SUCCESS,28.0,10.137275607180563,7.919746568109831,2.2175290390707536,12.565997888067582,22.703273495248144,15.0
2021-10-05,21STCENMGM-EQ,51.15,SUCCESS,22.0,SUCCESS,23.0,TIMEOUT,,TIMEOUT,,1.8572825024437911,-3.5190615835777095,2.2482893450635366,12.609970674486814,22.67839687194526,15.0
2021-10-29,21STCENMGM-EQ,54.35,SUCCESS,13.0,TIMEOUT,,TIMEOUT,,TIMEOUT,,10.211591536338549,9.015639374425021,10.947562097516084,3.955841766329349,-0.36798528058877844,15.0
2021-11-08,21STCENMGM-EQ,59.9,STOPPED_OUT,16.0,STOPPED_OUT,16.0,STOPPED_OUT,16.0,STOPPED_OUT,16.0,-1.085141903171949,0.6677796327211993,-5.6761268781302165,-3.9232053422370683,-16.611018363939888,-7.0
2021-11-18,21STCENMGM-EQ,62.75,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,-6.294820717131477,-11.79282868525896,-13.545816733067728,-17.211155378486055,-26.852589641434264,-7.0
2022-08-25,21STCENMGM-EQ,29.7,STOPPED_OUT,7.0,STOPPED_OUT,7.0,STOPPED_OUT,7.0,STOPPED_OUT,7.0,-4.7138047138047146,-10.77441077441077,-15.488215488215484,-15.151515151515149,-20.033670033670038,-7.0
2022-11-10,21STCENMGM-EQ,23.6,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,-6.567796610169497,-5.296610169491522,-4.872881355932213,-4.23728813559322,-1.6949152542372947,-7.0
2022-12-20,21STCENMGM-EQ,23.8,STOPPED_OUT,5.0,STOPPED_OUT,5.0,STOPPED_OUT,5.0,STOPPED_OUT,5.0,-4.4117647058823595,-5.462184873949583,-5.042016806722682,-6.302521008403361,-11.974789915966388,-7.0
2023-04-05,21STCENMGM-EQ,21.6,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,-5.7870370370370345,-8.796296296296301,-13.888888888888884,-13.888888888888884,-13.425925925925931,-7.0
2023-06-12,21STCENMGM-EQ,19.0,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,TIMEOUT,,9.736842105263154,20.26315789473685,17.894736842105253,8.947368421052637,13.684210526315788,15.0
2023-09-11,21STCENMGM-EQ,19.95,STOPPED_OUT,29.0,STOPPED_OUT,29.0,STOPPED_OUT,29.0,STOPPED_OUT,29.0,-1.754385964912275,-5.764411027568917,-2.7568922305764465,-4.260651629072676,-7.268170426065157,-7.0
2023-11-16,21STCENMGM-EQ,20.1,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,14.0,9.950248756218905,20.895522388059696,32.835820895522374,46.01990049751243,60.69651741293529,15.0
2023-11-22,21STCENMGM-EQ,21.7,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,14.0,9.907834101382495,20.737327188940103,32.71889400921659,45.852534562211986,43.087557603686655,15.0
2023-11-23,21STCENMGM-EQ,22.1,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,14.0,9.954751131221705,20.814479638009043,32.80542986425339,45.927601809954744,43.2126696832579,15.0
2023-11-24,21STCENMGM-EQ,22.5,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,14.0,10.000000000000009,20.88888888888889,32.88888888888888,46.0,43.333333333333336,15.0
2023-11-29,21STCENMGM-EQ,23.4,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,14.0,9.829059829059839,20.72649572649574,32.69230769230771,40.17094017094016,43.162393162393165,15.0
2023-12-07,21STCENMGM-EQ,26.2,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,25.0,9.92366412213741,20.801526717557238,25.954198473282442,18.511450381679406,43.320610687022885,15.0
