Model,Features,Threshold,Trades,Success15Before7Pct,Stop7Before15Pct,AverageRuleBasedReturnPct,Average20DayReturnPct
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA,55,32371,29.443,44.84,1.971,2.927
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA,60,27039,30.275,43.766,2.18,3.339
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA,65,21263,31.172,42.793,2.364,3.662
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA,70,17926,31.613,41.42,2.537,3.964
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA,75,14325,31.428,41.403,2.497,3.957
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA,80,10238,31.305,41.395,2.48,4.169
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,50,36352,29.789,43.497,2.153,3.181
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,55,31668,29.68,43.47,2.109,3.064
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,60,28260,30.014,42.803,2.208,3.134
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,65,25570,30.07,42.937,2.203,3.168
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,70,21429,30.543,42.368,2.308,3.422
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,75,17787,31.028,41.047,2.498,3.684
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,80,13890,31.217,41.008,2.518,3.848
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA,50,37642,29.661,44.53,2.021,3.009
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA,55,32192,29.417,44.971,1.948,2.926
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA,60,26767,30.168,44.237,2.116,3.277
