Model,Features,Threshold,Folds,TotalTrades,AverageSuccessPct,AverageStopPct,AverageRuleBasedReturnPct,Average20DayReturnPct,QualityScore
Mix_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,75,2,12313,29.054,46.178,1.811,3.36,1.878
Mix_SmallPct50EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | MicroPct200EMA | SmallPct200EMA,75,2,13462,29.127,46.292,1.804,3.323,1.872
Mix_MidPct50EMA_PctAbove200EMA_MicroPct200EMA,MidPct50EMA | PctAbove200EMA | MicroPct200EMA,80,2,8789,28.929,46.066,1.79,3.364,1.855
Mix_SmallPct50EMA_PctAbove200EMA_SmallPct200EMA,SmallPct50EMA | PctAbove200EMA | SmallPct200EMA,75,2,13681,29.035,46.485,1.776,3.272,1.833
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA,80,2,8693,28.959,46.36,1.774,3.275,1.832
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,80,2,9238,28.892,46.447,1.778,3.287,1.83
Mix_SmallPct50EMA_PctAbove200EMA_MicroPct200EMA,SmallPct50EMA | PctAbove200EMA | MicroPct200EMA,75,2,13047,28.93,46.447,1.767,3.308,1.82
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,80,2,9348,28.832,46.27,1.741,3.242,1.794
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,80,2,8271,28.908,46.457,1.717,3.309,1.769
Mix_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,75,2,12037,28.676,46.278,1.72,3.266,1.765
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,80,2,8164,28.834,46.551,1.7,3.312,1.745
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,80,2,7904,28.798,46.8,1.685,3.287,1.721
Mix_MidPct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,80,2,9492,28.486,46.718,1.685,3.303,1.708
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,80,2,8591,28.691,46.872,1.669,3.171,1.698
Mix_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,75,2,11781,28.465,46.621,1.656,3.25,1.68
Mix_SmallPct50EMA_PctAbove200EMA_SmallPct200EMA,SmallPct50EMA | PctAbove200EMA | SmallPct200EMA,80,2,11005,28.731,47.164,1.656,3.256,1.678
Mix_SmallPct50EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | MicroPct200EMA | SmallPct200EMA,80,2,10945,28.648,47.168,1.641,3.226,1.658
Mix_SmallPct50EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,80,2,9283,28.465,46.917,1.626,3.124,1.642
Mix_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,SmallPct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,80,2,9283,28.465,46.917,1.626,3.124,1.642
Mix_LargePct50EMA_PctAbove200EMA_MicroPct200EMA,LargePct50EMA | PctAbove200EMA | MicroPct200EMA,80,2,9347,28.306,47.381,1.645,3.16,1.638
Mix_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,80,2,8666,28.492,47.408,1.631,3.237,1.633
Mix_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,LargePct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,80,2,8343,28.345,47.268,1.601,3.156,1.6
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,80,2,8525,28.295,47.155,1.593,3.163,1.593
Mix_SmallPct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,75,2,14282,28.432,47.27,1.589,3.08,1.592
Mix_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,PctAbove200EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,75,2,12659,28.087,47.052,1.558,3.185,1.551
Mix_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,70,2,20510,28.298,47.292,1.552,2.588,1.548
Mix_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA,LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,80,2,7811,28.425,47.733,1.55,3.215,1.54
