Model,Features,Threshold,Folds,TotalTrades,AverageSuccessPct,AverageStopPct,AverageRuleBasedReturnPct,Average20DayReturnPct,QualityScore
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA | MicroPct200EMA,50,4,30803,25.326,48.019,1.068,1.686,0.894
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA | SmallPct200EMA,50,4,31054,25.365,47.956,1.063,1.806,0.892
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA,50,4,31009,25.309,48.093,1.067,1.667,0.89
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,55,4,27378,25.153,47.755,1.056,2.053,0.881
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA,55,4,27374,25.166,48.051,1.063,1.527,0.88
Mix_MidPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | SmallPct200EMA,55,4,26789,25.033,47.728,1.06,2.038,0.88
Top_5_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,60,4,23543,25.423,48.056,1.042,1.81,0.872
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,60,4,23543,25.423,48.056,1.042,1.81,0.872
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA,55,4,26938,25.423,48.003,1.04,1.832,0.871
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | SmallPct200EMA,60,4,23394,25.178,47.87,1.036,1.967,0.858
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA,60,4,23415,25.393,48.115,1.032,1.798,0.858
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA,55,4,27086,25.157,48.246,1.043,1.524,0.853
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA,55,4,27143,25.226,47.938,1.028,2.05,0.851
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,60,4,23361,25.205,48.195,1.024,1.866,0.838
Mix_MidPct50EMA_SmallPct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | SmallPct200EMA,50,4,31421,24.986,48.224,1.034,1.536,0.837
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA,75,4,14815,24.885,48.168,1.036,1.693,0.835
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA | SmallPct200EMA,60,4,22152,24.969,48.308,1.0,1.664,0.799
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA,60,4,23399,24.946,48.477,1.003,1.602,0.796
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,60,4,23238,25.037,48.293,0.989,1.881,0.792
Top_4_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,60,4,23238,25.037,48.293,0.989,1.881,0.792
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,50,4,31868,24.888,48.559,0.997,1.867,0.784
Top_6_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,50,4,31319,25.099,48.558,0.971,1.711,0.77
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA | SmallPct200EMA,60,4,23350,25.06,48.357,0.967,1.898,0.77
Mix_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,LargePct50EMA | PctAbove50EMA | SmallPct200EMA,50,4,32166,24.998,48.515,0.975,1.796,0.769
Mix_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,LargePct50EMA | PctAbove50EMA | MicroPct200EMA,55,4,26771,25.157,48.51,0.962,1.976,0.764
Mix_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,LargePct50EMA | PctAbove200EMA | PctAbove50EMA,55,4,26676,25.148,48.523,0.962,1.997,0.763
Top_6_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,55,4,27124,25.1,48.594,0.962,1.711,0.76
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,60,4,23924,25.057,48.621,0.963,1.798,0.757
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA,50,4,31123,25.074,48.727,0.965,1.552,0.757
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA,50,4,31191,24.917,48.633,0.969,1.528,0.756
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA,60,4,23672,25.199,49.013,0.963,1.782,0.753
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA,50,4,31865,24.796,48.761,0.967,1.834,0.744
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA | MicroPct200EMA,60,4,22393,24.985,48.841,0.957,1.569,0.742
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | PctAbove50EMA,60,4,22389,24.985,48.822,0.954,1.607,0.739
Mix_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,LargePct50EMA | PctAbove50EMA | MicroPct200EMA,50,4,31950,24.95,48.776,0.928,1.727,0.712
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | MicroPct200EMA,60,4,23406,24.849,48.808,0.931,1.817,0.709
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,60,4,22813,24.977,48.301,0.906,2.078,0.706
Top_5_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,65,4,19353,24.728,48.99,0.937,1.853,0.704
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,65,4,19353,24.728,48.99,0.937,1.853,0.704
Mix_SmallPct50EMA_PctAbove50EMA_SmallPct200EMA,SmallPct50EMA | PctAbove50EMA | SmallPct200EMA,50,4,31263,24.876,48.929,0.925,1.485,0.701
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA,65,4,19290,24.724,49.053,0.932,1.859,0.696
Mix_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,LargePct50EMA | PctAbove200EMA | PctAbove50EMA,50,4,32253,24.875,48.831,0.912,1.731,0.691
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,75,4,14185,24.568,48.148,0.904,2.21,0.688
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA,60,4,22606,24.936,48.396,0.889,2.068,0.684
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | SmallPct200EMA,50,4,31817,24.66,49.252,0.9,1.641,0.655
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | MicroPct200EMA | SmallPct200EMA,50,4,32047,24.68,49.275,0.888,1.661,0.643
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA,70,4,17237,24.504,48.781,0.879,1.629,0.64
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA,55,4,27047,24.685,49.455,0.876,1.385,0.626
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA,60,4,23221,24.623,49.18,0.857,1.46,0.613
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA,75,4,14721,24.503,49.05,0.851,2.109,0.604
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,75,4,14721,24.503,49.05,0.851,2.109,0.604
Mix_SmallPct50EMA_PctAbove50EMA_MicroPct200EMA,SmallPct50EMA | PctAbove50EMA | MicroPct200EMA,50,4,31646,24.721,49.416,0.847,1.372,0.601
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,50,4,32238,24.575,49.517,0.856,1.666,0.599
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,55,4,26480,24.899,49.493,0.837,1.687,0.597
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA,55,4,27954,24.804,49.313,0.833,1.825,0.594
Mix_MidPct50EMA_SmallPct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | SmallPct200EMA,55,4,27343,24.448,49.242,0.846,1.454,0.592
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,50,4,32156,24.523,49.622,0.838,1.648,0.576
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA | SmallPct200EMA,60,4,23372,24.531,49.08,0.82,1.642,0.574
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA,65,4,19215,24.464,48.812,0.812,1.905,0.57
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,55,4,27225,24.675,49.555,0.816,1.65,0.563
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA,55,4,28044,24.691,49.524,0.809,1.761,0.558
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA,50,4,31503,24.754,49.664,0.808,1.676,0.556
Mix_MidPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | SmallPct200EMA,60,4,23313,24.154,48.84,0.812,1.967,0.555
Mix_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | SmallPct200EMA,50,4,31491,24.693,49.6,0.803,1.68,0.55
Mix_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA,SmallPct50EMA | PctAbove200EMA | PctAbove50EMA,50,4,31664,24.584,49.632,0.809,1.348,0.55
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,55,4,27095,24.69,49.676,0.805,1.646,0.549
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,50,4,31384,24.463,49.705,0.809,1.304,0.541
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA,50,4,31259,24.8,49.766,0.793,1.693,0.54
Mix_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,LargePct50EMA | PctAbove50EMA | SmallPct200EMA,55,4,27010,24.532,49.55,0.774,1.754,0.514
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,50,4,31365,24.402,49.822,0.787,1.257,0.512
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA,55,4,26946,24.769,49.929,0.767,1.604,0.507
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA | SmallPct200EMA,65,4,18894,24.033,49.259,0.771,1.804,0.495
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA,55,4,26828,24.446,50.019,0.768,1.334,0.489
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA,50,4,31772,24.489,50.055,0.764,1.586,0.487
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | MicroPct200EMA | SmallPct200EMA,55,4,27304,24.55,49.92,0.748,1.554,0.478
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,50,4,31336,24.371,50.048,0.758,1.196,0.476
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,50,4,31909,24.481,50.268,0.75,1.575,0.466
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | SmallPct200EMA,55,4,27382,24.521,49.963,0.739,1.54,0.466
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | MicroPct200EMA,65,4,19039,24.392,50.078,0.714,1.819,0.431
Mix_SmallPct50EMA_PctAbove50EMA_MicroPct200EMA,SmallPct50EMA | PctAbove50EMA | MicroPct200EMA,55,4,27653,24.493,50.527,0.708,1.189,0.417
Mix_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | SmallPct200EMA,55,4,27432,24.252,50.052,0.694,1.677,0.405
Top_4_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,65,4,19013,24.206,49.947,0.691,1.913,0.403
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,65,4,19013,24.206,49.947,0.691,1.913,0.403
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,50,4,31931,24.331,50.406,0.695,1.474,0.4
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA | SmallPct200EMA,65,4,18526,23.882,50.3,0.694,1.332,0.379
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA,60,4,22151,24.284,50.876,0.686,1.383,0.374
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,55,4,26711,24.361,50.903,0.675,1.191,0.366
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA | MicroPct200EMA,65,4,18604,23.968,50.722,0.682,1.243,0.359
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA,60,4,22537,24.134,50.725,0.671,1.398,0.356
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | PctAbove50EMA,65,4,18499,23.902,50.669,0.679,1.272,0.354
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,50,4,32172,24.298,50.557,0.655,1.434,0.354
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA | SmallPct200EMA,50,4,31592,24.209,50.548,0.658,1.5,0.352
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,50,4,31897,24.24,50.74,0.638,1.427,0.327
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,50,4,31837,23.945,51.009,0.647,1.157,0.314
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | SmallPct200EMA,50,4,31681,24.096,50.677,0.63,1.446,0.314
Mix_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA,SmallPct50EMA | PctAbove200EMA | PctAbove50EMA,60,4,22819,24.081,51.073,0.636,1.068,0.307
Mix_SmallPct50EMA_PctAbove50EMA_MicroPct200EMA,SmallPct50EMA | PctAbove50EMA | MicroPct200EMA,60,4,22746,24.074,51.072,0.635,1.071,0.306
Mix_MidPct50EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,50,4,31874,23.917,51.09,0.635,1.112,0.298
Mix_MidPct50EMA_SmallPct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | SmallPct200EMA,60,4,22012,23.632,50.97,0.631,1.183,0.283
Mix_MidPct50EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | PctAbove50EMA | SmallPct200EMA,60,4,22535,23.76,50.756,0.617,1.308,0.282
Top_6_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,60,4,22527,23.975,51.083,0.602,1.306,0.269
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,65,4,18817,23.612,49.706,0.578,1.747,0.268
Mix_SmallPct50EMA_PctAbove50EMA_SmallPct200EMA,SmallPct50EMA | PctAbove50EMA | SmallPct200EMA,55,4,26992,24.029,51.114,0.599,1.075,0.267
Mix_LargePct50EMA_PctAbove50EMA_MicroPct200EMA,LargePct50EMA | PctAbove50EMA | MicroPct200EMA,60,4,22817,24.011,50.696,0.585,1.63,0.265
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA,75,4,14232,23.654,50.361,0.586,1.687,0.258
Mix_SmallPct50EMA_LargePct50EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,55,4,27264,24.087,51.063,0.579,1.241,0.252
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,55,4,26947,24.133,51.241,0.575,1.302,0.244
Mix_SmallPct50EMA_PctAbove50EMA_SmallPct200EMA,SmallPct50EMA | PctAbove50EMA | SmallPct200EMA,60,4,22629,23.723,51.08,0.586,1.091,0.24
Mix_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA,SmallPct50EMA | PctAbove200EMA | PctAbove50EMA,55,4,27476,24.0,51.235,0.565,1.034,0.228
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,55,4,27217,23.965,51.071,0.559,1.261,0.225
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA,50,4,31385,24.029,51.289,0.549,1.359,0.211
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA,60,4,22409,23.91,51.516,0.555,1.54,0.205
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,55,4,26966,23.791,51.242,0.541,1.094,0.193
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,55,4,26957,23.772,51.301,0.533,1.094,0.183
Mix_MidPct50EMA_SmallPct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | SmallPct200EMA,80,3,10938,23.203,51.226,0.555,2.526,0.178
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | SmallPct200EMA,75,3,12835,24.602,53.779,0.537,1.427,0.154
Mix_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | SmallPct200EMA,60,4,22818,23.696,51.351,0.497,1.562,0.141
Mix_LargePct50EMA_PctAbove50EMA_SmallPct200EMA,LargePct50EMA | PctAbove50EMA | SmallPct200EMA,60,4,22595,23.538,51.109,0.484,1.422,0.127
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA | SmallPct200EMA,50,4,31262,23.658,51.855,0.493,1.076,0.12
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | SmallPct200EMA,50,4,31172,23.645,51.875,0.49,1.073,0.116
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA,80,3,8827,24.609,54.139,0.504,1.448,0.11
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA,60,4,22430,23.676,52.005,0.485,1.458,0.108
Mix_MidPct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA,MidPct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,50,4,31634,23.661,52.052,0.485,0.989,0.107
Mix_LargePct50EMA_PctAbove200EMA_PctAbove50EMA,LargePct50EMA | PctAbove200EMA | PctAbove50EMA,60,4,22572,23.63,51.453,0.466,1.496,0.104
Mix_MidPct50EMA_LargePct50EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | SmallPct200EMA,65,4,19589,23.238,50.653,0.45,1.656,0.092
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA,50,4,31571,23.823,51.973,0.459,1.289,0.091
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,75,3,12495,24.357,54.166,0.477,1.312,0.07
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA,55,4,26669,23.78,51.657,0.426,1.476,0.065
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,80,3,9038,24.364,54.163,0.457,1.434,0.05
Mix_LargePct50EMA_MicroPct200EMA_SmallPct200EMA,LargePct50EMA | MicroPct200EMA | SmallPct200EMA,70,3,17146,24.273,54.379,0.445,1.0,0.028
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | MicroPct200EMA,75,3,12945,24.315,54.198,0.438,1.079,0.028
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA | SmallPct200EMA,75,3,12709,24.477,54.533,0.433,1.066,0.021
Mix_LargePct50EMA_PctAbove200EMA_MicroPct200EMA,LargePct50EMA | PctAbove200EMA | MicroPct200EMA,75,3,13563,24.189,54.577,0.436,1.279,0.008
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,65,4,19652,23.238,50.982,0.362,1.61,-0.006
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA,80,3,9585,24.139,54.419,0.417,1.26,-0.008
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA | SmallPct200EMA,75,3,12894,24.291,54.465,0.41,1.038,-0.009
