Metric,Value
Completed breakout trades,71280
Overall 15% before 7% success rate (%),26.46745230078563
Overall 7% stop before 15% rate (%),46.75925925925926
Overall average rule-based return (%),1.3721098526794204
Available breadth features,25
Usable breadth features,25
Breadth merge coverage (%),99.80920314253648
Best walk-forward model,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA
Best model features,LargePct50EMA | PctAbove200EMA | SmallPct200EMA
Best model score threshold,75
