Symbol,Date,Stored_Close,Fresh_Close,Difference_Pct
BLIL,2026-09-07,72.79,70.48,3.1735128451710426
BLIL,2026-09-08,72.43,70.13,3.1754797735745006
BLIL,2026-09-09,72.01,69.72,3.180113873073193
BLIL,2026-09-10,71.42,69.15,3.178381405768686
CENTEXT,2026-09-07,20.92,19.04,8.986615678776303
CENTEXT,2026-09-08,21.39,19.47,8.976157082748957
CENTEXT,2026-09-09,21.94,19.97,8.979033728350055
CENTEXT,2026-09-10,22.8,20.75,8.991228070175442
CENTEXT,2026-09-11,22.37,20.36,8.985248100134115
EMPIND,2026-09-07,1192.1,1141.5,4.244610351480573
IVC,2026-09-07,10.28,9.49,7.684824902723728
IVC,2026-09-08,10.02,9.25,7.684630738522951
IVC,2026-09-09,9.97,9.2,7.72316950852559
IVC,2026-09-10,9.68,8.94,7.644628099173556
IVC,2026-09-11,9.11,8.41,7.68386388583973
