Symbol,Date,Stored_Close,Fresh_Close,Difference_Pct
BALMLAWRIE,2026-09-04,177.98,173.63,2.4440948421170887
BALMLAWRIE,2026-09-07,177.98,173.63,2.4440948421170887
BALMLAWRIE,2026-09-08,176.38,172.07,2.443587708356958
BALMLAWRIE,2026-09-09,175.6,171.31,2.44305239179954
BALMLAWRIE,2026-09-10,174.08,169.83,2.4414062499999996
BLIL,2026-09-04,72.53,70.22,3.184889011443544
BLIL,2026-09-07,72.79,70.48,3.1735128451710426
BLIL,2026-09-08,72.43,70.13,3.1754797735745006
BLIL,2026-09-09,72.01,69.72,3.180113873073193
BLIL,2026-09-10,71.42,69.15,3.178381405768686
CSLFINANCE,2026-09-04,251.77,241.32,4.150613655320338
CSLFINANCE,2026-09-07,243.61,233.5,4.150075941053329
CSLFINANCE,2026-09-08,241.85,231.82,4.147198676865827
CSLFINANCE,2026-09-09,243.4,233.3,4.149548069022183
CSLFINANCE,2026-09-10,241.04,231.04,4.14868901427149
EMPIND,2026-09-04,1195.6,1144.8,4.2489126798260255
EMPIND,2026-09-07,1192.1,1141.5,4.244610351480573
GIPCL,2026-09-04,205.18,201.0,2.037235598011505
GIPCL,2026-09-07,200.72,196.63,2.037664408130731
GIPCL,2026-09-08,201.1,197.0,2.0387866732968645
GIPCL,2026-09-09,201.04,196.95,2.0344210107441323
GIPCL,2026-09-10,201.3,197.2,2.036761053154507
GSFC,2026-09-04,162.88,157.8,3.1188605108054914
GSFC,2026-09-07,162.02,156.97,3.116899148253309
GSFC,2026-09-08,160.81,155.8,3.115477893165842
GSFC,2026-09-09,160.03,155.04,3.118165343998006
GSFC,2026-09-10,160.38,155.38,3.1175957101883025
GUJENERGY,2026-09-04,263.59,254.38,3.4940627489661904
GUJENERGY,2026-09-07,261.93,252.78,3.4932997365708416
GUJENERGY,2026-09-08,260.18,251.09,3.493735106464756
GUJENERGY,2026-09-09,258.97,249.92,3.494613275669011
GUJENERGY,2026-09-10,254.8,245.9,3.4929356357927808
HEIDELBERG,2026-09-04,160.17,153.11,4.4078166947618
HEIDELBERG,2026-09-07,160.56,153.48,4.409566517189843
HEIDELBERG,2026-09-08,159.72,152.68,4.407713498622585
HEIDELBERG,2026-09-09,159.86,152.81,4.410108845239591
HEIDELBERG,2026-09-10,158.79,151.79,4.4083380565526795
PGIL,2026-09-04,2278.3,1139.2,49.99780538120528
PGIL,2026-09-07,2257.2,1128.6,50.0
PGIL,2026-09-08,2366.8,1183.4,50.0
PGIL,2026-09-09,2277.9,1139.0,49.99780499582949
PGIL,2026-09-10,2378.4,1189.2,50.0
RUPA,2026-09-04,144.49,141.4,2.1385563014741527
RUPA,2026-09-07,142.92,139.87,2.1340610131542004
RUPA,2026-09-08,142.18,139.14,2.13813475875652
RUPA,2026-09-09,141.03,138.02,2.1342976671630085
RUPA,2026-09-10,140.45,137.45,2.135991456034176
