Symbol,Date,Stored_Close,Fresh_Close,Difference_Pct
BLIL,2026-09-10,71.42,69.15,3.178381405768686
GUJALKALI,2026-09-10,718.75,699.85,2.6295652173913013
GUJALKALI,2026-09-11,705.0,686.5,2.624113475177305
GUJALKALI,2026-09-15,692.7,674.5,2.6274000288725343
GUJALKALI,2026-09-16,696.5,678.2,2.627422828427847
GUJALKALI,2026-09-17,673.75,656.05,2.6270871985157767
SHARDAMOTR,2026-09-10,946.25,926.3,2.10832232496698
SHARDAMOTR,2026-09-11,943.75,923.85,2.1086092715231763
SHARDAMOTR,2026-09-15,933.15,913.45,2.1111289717623034
SHARDAMOTR,2026-09-16,930.55,910.95,2.106281231529731
SHARDAMOTR,2026-09-17,948.35,928.35,2.1089260294195182
