Symbol,Date,Stored_Close,Fresh_Close,Difference_Pct
FMGOETZE,2026-08-31,624.85,529.15,15.31567576218293
FMGOETZE,2026-09-01,624.85,529.15,15.31567576218293
FMGOETZE,2026-09-02,612.4,518.6,15.31678641410842
FMGOETZE,2026-09-03,613.7,519.7,15.316930096138176
GICRE,2026-08-31,354.75,341.55,3.720930232558136
GICRE,2026-09-01,354.75,341.55,3.720930232558136
GICRE,2026-09-02,355.45,342.25,3.7136024757349806
GICRE,2026-09-03,356.15,342.9,3.720342552295382
GPPL,2026-08-31,167.56,162.6,2.960133683456677
GPPL,2026-09-01,169.02,164.02,2.958229795290498
GULFOILLUB,2026-08-31,1121.8,1091.5,2.7010162239258295
GULFOILLUB,2026-09-01,1132.8,1102.3,2.6924435028248586
GULFOILLUB,2026-09-02,1125.0,1094.7,2.6933333333333294
GULFOILLUB,2026-09-03,1112.5,1082.5,2.696629213483146
NIRLON,2026-08-31,647.35,632.4,2.309415308565698
NIRLON,2026-09-01,649.45,634.45,2.309646624066518
NIRLON,2026-09-02,649.8,634.8,2.308402585410896
TCC,2026-08-31,225.15,45.03,80.0
TCC,2026-09-01,227.44,45.49,79.99912064720365
TCC,2026-09-02,233.31,46.66,80.00085722858
TCC,2026-09-03,233.13,46.63,79.99828421910522
