Symbol,Date,Stored_Close,Fresh_Close,Difference_Pct
EMPIND,2026-09-03,1195.9,1145.1,4.2478468099339555
EMPIND,2026-09-04,1195.6,1144.8,4.2489126798260255
EMPIND,2026-09-07,1192.1,1141.5,4.244610351480573
GNFC,2026-09-03,587.35,566.4,3.566868136545508
GNFC,2026-09-04,596.7,575.45,3.561253561253561
GNFC,2026-09-07,597.9,576.6,3.5624686402408354
RADIANTCMS,2026-09-03,39.87,37.39,6.2202157010283345
RADIANTCMS,2026-09-04,41.78,39.18,6.223073240785068
RADIANTCMS,2026-09-07,42.72,40.07,6.203183520599248
RADIANTCMS,2026-09-08,41.24,38.68,6.207565470417076
RADIANTCMS,2026-09-09,40.25,37.75,6.211180124223603
TCC,2026-09-03,233.13,46.63,79.99828421910522
ZEEL,2026-09-03,91.64,89.5,2.335224792666958
ZEEL,2026-09-04,91.61,89.47,2.3359895207946737
ZEEL,2026-09-07,85.99,83.98,2.337481102453763
ZEEL,2026-09-08,86.31,84.3,2.3288147375738677
ZEEL,2026-09-09,85.71,83.71,2.333450005833625
