symbol,company_name,isin,as_of_date,close,median_turnover_50d_cr,ema20,ema50,ema200,close_vs_ema20_pct,close_vs_ema50_pct,close_vs_ema200_pct,trend_stack
SENORES,,,2026-09-15,1416.1,28.3,1461.19,1407.76,1109.38,-3.09,0.59,27.65,Close > EMA20 > EMA50 > EMA200
AJANTPHARM,,,2026-09-15,3510.4,27.59,3535.79,3470.18,3125.3,-0.72,1.16,12.32,Close > EMA20 > EMA50 > EMA200
PRICOLLTD,,,2026-09-15,740.75,27.15,761.21,724.47,627.68,-2.69,2.25,18.01,Close > EMA20 > EMA50 > EMA200
DEEPINDS,,,2026-09-15,730.4,26.9,721.56,645.15,523.1,1.23,13.21,39.63,Close > EMA20 > EMA50 > EMA200
GANDHAR,,,2026-09-15,260.45,26.75,259.47,239.41,188.78,0.38,8.79,37.96,Close > EMA20 > EMA50 > EMA200
SBCL,,,2026-09-15,1020.2,26.08,1050.71,945.28,704.79,-2.9,7.93,44.75,Close > EMA20 > EMA50 > EMA200
EMIL,,,2026-09-15,185.06,25.69,179.86,163.97,134.84,2.89,12.86,37.24,Close > EMA20 > EMA50 > EMA200
CAPLIPOINT,,,2026-09-15,2570.6,24.67,2664.32,2566.33,2220.87,-3.52,0.17,15.75,Close > EMA20 > EMA50 > EMA200
KPRMILL,,,2026-09-15,1120.2,24.67,1133.66,1112.07,1035.25,-1.19,0.73,8.21,Close > EMA20 > EMA50 > EMA200
JINDWORLD,,,2026-09-15,49.44,24.55,46.42,40.29,34.87,6.52,22.71,41.77,Close > EMA20 > EMA50 > EMA200
AXISCADES,,,2026-09-15,1717.7,24.05,1712.8,1674.99,1591.85,0.29,2.55,7.91,Close > EMA20 > EMA50 > EMA200
ROLEXRINGS,,,2026-09-15,166.47,23.97,172.87,164.57,147.73,-3.7,1.16,12.69,Close > EMA20 > EMA50 > EMA200
AKUMS,,,2026-09-15,765.65,23.96,753.08,714.96,600.15,1.67,7.09,27.58,Close > EMA20 > EMA50 > EMA200
MARINE,,,2026-09-15,376.75,23.94,394.54,349.76,266.29,-4.51,7.72,41.48,Close > EMA20 > EMA50 > EMA200
IKS,,,2026-09-15,1783.0,23.89,1773.97,1772.03,1683.58,0.51,0.62,5.91,Close > EMA20 > EMA50 > EMA200
EMCURE,,,2026-09-15,1993.0,23.38,1916.54,1883.2,1689.62,3.99,5.83,17.96,Close > EMA20 > EMA50 > EMA200
FIVESTAR,,,2026-09-15,541.95,22.97,533.23,527.93,518.59,1.63,2.66,4.5,Close > EMA20 > EMA50 > EMA200
CASTROLIND,,,2026-09-15,187.82,22.94,187.17,184.57,181.82,0.35,1.76,3.3,Close > EMA20 > EMA50 > EMA200
LUMAXTECH,,,2026-09-15,1991.3,22.72,1950.28,1836.39,1597.07,2.1,8.44,24.68,Close > EMA20 > EMA50 > EMA200
SSWL,,,2026-09-15,339.0,22.7,339.67,308.91,251.46,-0.2,9.74,34.81,Close > EMA20 > EMA50 > EMA200
SETL,,,2026-09-15,444.75,22.48,382.18,323.61,221.91,16.37,37.44,100.42,Close > EMA20 > EMA50 > EMA200
BRIGADE,,,2026-09-15,612.25,22.46,643.43,609.43,599.78,-4.85,0.46,2.08,Close > EMA20 > EMA50 > EMA200
FILATEX,,,2026-09-15,82.41,22.4,78.67,73.96,59.51,4.76,11.43,38.48,Close > EMA20 > EMA50 > EMA200
KAJARIACER,,,2026-09-15,1213.6,22.37,1229.13,1211.59,1136.7,-1.26,0.17,6.76,Close > EMA20 > EMA50 > EMA200
NELCO,,,2026-09-15,924.3,22.01,943.82,922.73,825.67,-2.07,0.17,11.95,Close > EMA20 > EMA50 > EMA200
EXICOM,,,2026-09-15,168.43,21.59,169.3,162.55,145.3,-0.51,3.62,15.92,Close > EMA20 > EMA50 > EMA200
