Date,Total_Universe,Advances,Declines,Above_20_EMA,Above_50_EMA,Above_200_EMA,Up_4_Count,Down_4_Count,Up_25_1M_Count,Down_25_1M_Count,New_52W_Highs,New_52W_Lows,Total_Up_Volume,Total_Down_Volume,T3_Breakouts,T3_Wins,Pct_Above_20_EMA,Pct_Above_50_EMA,Pct_Above_200_EMA,Rolling_3D_Up_4,Rolling_3D_Down_4,Net_52W_High_Low,Volume_Ratio,AD_Spread,MCO,TRIN,Large_Pct_20_EMA,Large_Pct_50_EMA,Large_Pct_200_EMA,Mid_Pct_20_EMA,Mid_Pct_50_EMA,Mid_Pct_200_EMA,Small_Pct_20_EMA,Small_Pct_50_EMA,Small_Pct_200_EMA,Micro_Pct_20_EMA,Micro_Pct_50_EMA,Micro_Pct_200_EMA
2025-07-28,2161,439,1709,0,0,0,44,176,0,0,0,0,328708197278.56,571330974622.06,0,0,,,,144.0,372.0,0,0.5753376096848726,-1270,-173.83012644387838,0.4464776183347196,,,,,,,,,,,,
2025-07-29,2155,1489,647,0,0,0,164,27,0,0,0,0,697603495512.22,232285662301.95,0,0,,,,243.0,349.0,0,3.0032137523942235,842,-104.93037370334449,0.7663094355851503,,,,,,,,,,,,
2025-07-30,2158,1086,1036,0,0,0,111,41,0,0,0,0,504972046178.42,358567794496.07,0,0,,,,319.0,244.0,0,1.4083028479640725,50,-85.09643324167126,0.7443445490258408,,,,,,,,,,,,
2025-07-31,2160,624,1509,0,0,0,66,73,0,0,0,0,399075051935.03,651902603342.47,0,0,,,,341.0,141.0,0,0.6121697472724589,-885,-114.46293198073232,0.6754970962249152,,,,,,,,,,,,
2025-08-01,2163,441,1705,0,0,0,50,160,0,0,0,0,294217732379.68,627442208300.52,0,0,,,,227.0,274.0,0,0.46891606667030666,-1264,-157.94897374272585,0.5515934402273452,,,,,,,,,,,,
2025-08-04,2164,1345,793,0,0,0,135,52,0,0,0,0,635395691966.73,184487848002.52,0,0,,,,251.0,285.0,0,3.4441059334954502,552,-103.53979458051674,0.4924618543079715,,,,,,,,,,,,
2025-08-05,2166,783,1354,0,0,0,62,57,0,0,0,0,408570490470.09,440882953718.36,0,0,,,,247.0,269.0,0,0.9267096562099378,-571,-112.65224742392536,0.6240212934754672,,,,,,,,,,,,
2025-08-06,2163,501,1644,0,0,0,45,129,0,0,0,0,345584394797.22,507781756058.14,0,0,,,,242.0,238.0,0,0.6805766270125125,-1143,-148.4801333679201,0.44777401023094837,,,,,,,,,,,,
2025-08-07,2168,958,1189,0,0,0,70,78,0,0,0,0,570193315372.35,386407685678.73,0,0,,,,177.0,264.0,0,1.4756262271784852,-231,-132.77057518319597,0.5460184136278122,,,,,,,,,,,,
2025-08-08,2167,617,1527,349,0,0,69,106,0,0,0,0,235033806326.26,742404945888.31,0,0,16.37728765837635,,,184.0,313.0,0,0.3165843757206094,-910,-152.62505005934088,1.2763114033460932,26.262626262626267,,,20.666666666666668,,,22.48995983935743,,,14.451928965094918,,
2025-08-11,2168,1196,950,452,0,0,120,90,0,0,0,0,581160437291.51,205738273755.84,10,6,21.091927204853008,,,259.0,274.0,0,2.824756068374413,246,-111.03750082814804,0.4456835698168553,35.35353535353536,,,31.333333333333336,,,28.514056224899598,,,18.17629179331307,,
2025-08-12,2168,1015,1126,490,0,0,103,67,25,21,0,0,359937298627.45,410960860777.81,8,7,22.843822843822846,,,292.0,263.0,0,0.8758432565703083,-111,-92.77495873133742,1.0292035160207569,38.38383838383838,,,28.187919463087248,,,30.241935483870968,,,20.31534263189812,,
2025-08-13,2166,1247,900,610,0,0,132,65,25,20,0,0,653548994996.87,209329438950.31,18,12,28.438228438228435,,,355.0,222.0,0,3.122107422018579,347,-53.796610444907685,0.4437885595406945,46.464646464646464,,,37.58389261744966,,,37.5,,,25.166767738023044,,
2025-08-14,2171,768,1373,554,0,0,63,110,20,27,0,0,414303268402.88,383795264285.14,12,8,25.803446669771773,,,298.0,242.0,0,1.0794903089111454,-605,-67.80113960778573,0.5181696057073832,46.464646464646464,,,30.405405405405407,,,34.67741935483871,,,22.82082324455206,,
2025-08-18,2175,1462,690,810,0,0,208,48,27,24,0,0,831020024684.89,215831472396.51,40,25,37.67441860465116,,,403.0,223.0,0,3.8503190264779814,772,-10.586006344007501,0.5503026022335878,52.0,,,48.64864864864865,,,45.78313253012048,,,34.603750756200846,,
