Date,Total_Universe,Advances,Declines,Above_20_EMA,Above_50_EMA,Above_200_EMA,Up_4_Count,Down_4_Count,Up_25_1M_Count,Down_25_1M_Count,New_52W_Highs,New_52W_Lows,IPO_New_Highs,Total_Up_Volume,Total_Down_Volume,T3_Breakouts,T3_Wins,Pct_Above_20_EMA,Pct_Above_50_EMA,Pct_Above_200_EMA,Rolling_3D_Up_4,Rolling_3D_Down_4,Net_52W_High_Low,Volume_Ratio,AD_Spread,MCO,TRIN,Large_Pct_20_EMA,Large_Pct_50_EMA,Large_Pct_200_EMA,Mid_Pct_20_EMA,Mid_Pct_50_EMA,Mid_Pct_200_EMA,Small_Pct_20_EMA,Small_Pct_50_EMA,Small_Pct_200_EMA,Micro_Pct_20_EMA,Micro_Pct_50_EMA,Micro_Pct_200_EMA,T3_Breakouts_5D,T3_Wins_5D,Composite_Score,Intraday_Volume_Points,Unchanged
2018-05-03,418,109,307,190,0,0,11,23,14,7,0,0,5,100147908960.65,158867047856.86,67,12,46.68304668304668,,,53.0,77.0,0,0.6303881787422888,-198.0,-34.19924276797393,0.5632225855554981,50.505050505050505,,,44.66666666666666,,,46.20253164556962,,,,,,446.0,178.0,23,,
2018-05-04,414,154,251,177,0,0,14,16,14,5,0,0,7,112366623467.43,123322800339.88,14,3,44.02985074626866,,,32.0,85.0,0,0.9111585461710684,-97.0,-34.10843894871482,0.6733688876775081,47.0,,,42.28187919463088,,,43.790849673202615,,,,,,354.0,143.0,22,,
2018-05-07,411,250,148,212,0,0,35,12,17,6,0,0,17,176987089068.43,59208085436.7,8,2,53.266331658291456,,,60.0,51.0,0,2.98923850962296,102.0,-23.910259488504717,0.5650901337418709,55.00000000000001,,,50.33557046979866,,,55.033557046979865,,,,,,257.0,102.0,34,,
2018-05-08,404,189,210,211,0,0,14,11,15,7,0,0,20,145968229175.84,139986686207.22,3,0,53.55329949238579,,,63.0,39.0,0,1.0427293704185956,-21.0,-21.221264752582545,0.8631194493339168,53.0,,,50.0,,,57.638888888888886,,,,,,173.0,52.0,28,,
2018-05-09,406,147,251,194,0,0,22,3,13,7,0,0,8,131869809123.51,105581270263.2,2,2,48.86649874055416,,,71.0,26.0,0,1.2489886586397017,-104.0,-22.96606792960618,0.4689052750533214,53.0,,,43.333333333333336,,,51.70068027210885,,,,,,94.0,19.0,29,,
2018-05-10,404,71,331,140,0,0,3,39,12,8,0,0,5,59787040639.69,175238487188.26,9,2,35.26448362720403,,,39.0,53.0,0,0.3411752840314145,-260.0,-32.14304430631334,0.6287135106606004,41.0,,,28.000000000000004,,,38.775510204081634,,,,,,36.0,9.0,20,,
2018-05-11,402,205,188,159,0,0,15,12,13,9,0,0,9,136121268280.0,99385834152.38,12,2,40.25316455696203,,,40.0,54.0,0,1.369624448402743,17.0,-25.978643886866426,0.7961492898192263,44.0,,,37.333333333333336,,,40.689655172413794,,,,,,34.0,8.0,26,,
2018-05-14,397,121,269,138,0,0,6,37,10,10,0,0,10,89051969216.63,135230404581.81,5,1,35.47557840616967,,,24.0,88.0,0,0.6585203193913131,-148.0,-28.828188308804968,0.6830679527244149,40.0,,,34.0,,,33.81294964028777,,,,,,31.0,7.0,15,,
2018-05-15,389,139,243,123,0,0,6,28,9,11,0,0,8,122184000993.06,148552058756.73,1,1,31.948051948051948,,,27.0,77.0,0,0.8224995467289312,-104.0,-28.9204078480184,0.6954611260033527,42.0,,,25.503355704697988,,,31.61764705882353,,,,,,29.0,8.0,12,,
2018-05-16,390,173,211,130,0,0,13,13,10,12,0,0,7,123873281196.71,120123912537.96,2,2,33.67875647668394,,,25.0,78.0,0,1.0312125086465629,-38.0,-25.554653514805786,0.795088506389672,42.0,,,26.174496644295303,,,35.76642335766424,,,,,,29.0,8.0,15,,
2018-05-17,387,203,179,133,0,0,27,5,9,10,0,0,8,113500479919.02,131386563765.82,6,6,34.81675392670157,,,46.0,46.0,0,0.8638667202022294,24.0,-19.449160292334987,1.3127930336580365,36.0,,,29.53020134228188,,,39.849624060150376,,,,,,26.0,12.0,18,,
2018-05-18,382,69,308,86,0,0,3,57,7,14,0,0,7,73983790049.67,184283027426.76,8,4,22.81167108753316,,,43.0,75.0,0,0.4014682799753413,-239.0,-27.28171778566077,0.5580166234795286,19.0,,,20.13422818791946,,,28.90625,,,,,,22.0,14.0,35,,
2018-05-21,375,65,305,68,0,0,10,77,4,19,0,0,1,56861834748.33,175447266242.47,5,3,18.37837837837838,,,40.0,139.0,0,0.3240964420029568,-240.0,-33.89214585352601,0.6575658553401099,22.0,,,12.0,,,23.33333333333333,,,,,,22.0,16.0,34,,
2018-05-22,374,251,117,88,0,0,33,5,7,11,0,0,3,182620432716.17,61404373950.32,4,2,23.848238482384826,,,46.0,139.0,0,2.9740622852684955,134.0,-20.674601122283164,0.7213363203338122,21.21212121212121,,,20.666666666666668,,,30.0,,,,,,25.0,17.0,44,,
2018-05-23,373,131,237,87,0,0,13,19,4,14,0,0,4,115726445501.87,138439022829.32,6,4,23.705722070844686,,,56.0,101.0,0,0.835938040710876,-106.0,-21.27022737145913,0.6612243840030378,20.2020202020202,,,22.14765100671141,,,28.57142857142857,,,,,,29.0,19.0,36,,
2018-05-24,364,175,183,87,0,0,12,17,3,14,0,0,5,137933845350.37,101237408079.91,0,0,24.23398328690808,,,58.0,41.0,0,1.3624790279250758,-8.0,-16.773136677647265,0.7018707322503107,25.252525252525253,,,19.463087248322147,,,29.72972972972973,,,,,,23.0,13.0,36,,
2018-05-25,357,274,78,123,0,0,44,3,4,9,0,0,9,220215551596.19,36968585324.73,4,4,34.844192634560905,,,69.0,39.0,0,5.956829282533504,196.0,-2.644258451049879,0.5897131420436599,33.33333333333333,,,34.22818791946309,,,37.142857142857146,,,,,,19.0,13.0,52,,
2018-05-28,357,272,82,182,0,0,57,7,6,5,0,0,15,189135782058.36,57997726951.64,4,3,51.85185185185185,,,113.0,27.0,0,3.261089563321444,190.0,9.149153724946125,1.0171671480722055,54.54545454545454,,,54.054054054054056,,,46.15384615384615,,,,,,18.0,13.0,63,,
2018-05-29,353,151,200,163,0,0,10,10,6,4,0,0,6,109312992296.81,145180551204.43,3,1,46.83908045977012,,,111.0,20.0,0,0.7529451527077166,-49.0,7.236775366797978,1.0027290796479582,42.42424242424242,,,45.94594594594595,,,52.47524752475248,,,,,,17.0,12.0,53,,
2018-05-30,355,145,206,162,0,0,11,7,7,6,0,0,9,101830051595.21,143736906009.48,3,1,46.41833810888252,,,78.0,24.0,0,0.7084474991307654,-61.0,4.965507993747327,0.993557738589332,47.474747474747474,,,43.24324324324324,,,50.0,,,,,,14.0,9.0,48,,
2018-05-31,357,135,220,154,0,0,9,25,6,7,0,0,11,258651228291.84,237250272956.74,3,1,43.626062322946176,,,30.0,42.0,0,1.0902041336702792,-85.0,1.798746849820283,0.5628637286216267,43.43434343434344,,,39.455782312925166,,,49.53271028037384,,,,,,17.0,10.0,39,,
2018-06-01,364,73,286,128,0,0,3,43,5,9,0,0,4,80054703451.34,150477962738.68,1,0,35.55555555555556,,,23.0,75.0,0,0.532002839448079,-213.0,-7.317827662486444,0.4797808137820399,41.41414141414141,,,29.054054054054053,,,38.93805309734513,,,,,,14.0,6.0,15,,
